sumlev,region,division,state,county,stname,ctyname,census2010pop,estimatesbase2010,popestimate2010,popestimate2011,popestimate2012,popestimate2013,popestimate2014,popestimate2015,popestimate2016,npopchg_2010,npopchg_2011,npopchg_2012,npopchg_2013,npopchg_2014,npopchg_2015,npopchg_2016
40,3,6,01,000,Alabama,Alabama,4779736,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300,5361,14426,16042,13519,13735,10661,9425
50,3,6,01,001,Alabama,Autauga County,54571,54571,54742,55255,55027,54792,54977,55035,55416,171,513,-228,-235,185,58,381
50,3,6,01,003,Alabama,Baldwin County,182265,182265,183199,186653,190403,195147,199745,203690,208563,934,3454,3750,4744,4598,3945,4873
50,3,6,01,005,Alabama,Barbour County,27457,27457,27348,27326,27132,26938,26763,26270,25965,-109,-22,-194,-194,-175,-493,-305
50,3,6,01,007,Alabama,Bibb County,22915,22919,22861,22736,22645,22501,22511,22561,22643,-58,-125,-91,-144,10,50,82
50,3,6,01,009,Alabama,Blount County,57322,57324,57376,57707,57772,57746,57621,57676,57704,52,331,65,-26,-125,55,28
50,3,6,01,011,Alabama,Bullock County,10914,10911,10892,10722,10654,10576,10712,10455,10362,-19,-170,-68,-78,136,-257,-93
50,3,6,01,013,Alabama,Butler County,20947,20946,20938,20848,20665,20330,20283,20126,19998,-8,-90,-183,-335,-47,-157,-128
50,3,6,01,015,Alabama,Calhoun County,118572,118586,118468,117736,117208,116475,115837,115285,114611,-118,-732,-528,-733,-638,-552,-674
50,3,6,01,017,Alabama,Chambers County,34215,34170,34101,34006,34084,34123,33996,34043,33843,-69,-95,78,39,-127,47,-200
50,3,6,01,019,Alabama,Cherokee County,25989,25986,25977,26073,26017,26074,25944,25726,25725,-9,96,-56,57,-130,-218,-1
50,3,6,01,021,Alabama,Chilton County,43643,43631,43675,43758,43693,43769,43874,43809,43941,44,83,-65,76,105,-65,132
50,3,6,01,023,Alabama,Choctaw County,13859,13858,13840,13610,13549,13384,13310,13201,12993,-18,-230,-61,-165,-74,-109,-208
50,3,6,01,025,Alabama,Clarke County,25833,25833,25762,25549,25148,25105,24862,24726,24392,-71,-213,-401,-43,-243,-136,-334
50,3,6,01,027,Alabama,Clay County,13932,13932,13882,13676,13461,13464,13503,13495,13492,-50,-206,-215,3,39,-8,-3
50,3,6,01,029,Alabama,Cleburne County,14972,14972,14975,14976,14928,15031,15076,14996,14924,3,1,-48,103,45,-80,-72
50,3,6,01,031,Alabama,Coffee County,49948,49948,50183,50484,51180,50729,50757,51063,51226,235,301,696,-451,28,306,163
50,3,6,01,033,Alabama,Colbert County,54428,54428,54521,54460,54493,54456,54427,54295,54216,93,-61,33,-37,-29,-132,-79
50,3,6,01,035,Alabama,Conecuh County,13228,13228,13209,13193,13007,12866,12621,12597,12395,-19,-16,-186,-141,-245,-24,-202
50,3,6,01,037,Alabama,Coosa County,11539,11758,11758,11369,11201,11058,10794,10687,10581,0,-389,-168,-143,-264,-107,-106
50,3,6,01,039,Alabama,Covington County,37765,37765,37801,38066,37842,37890,37795,37661,37458,36,265,-224,48,-95,-134,-203
50,3,6,01,041,Alabama,Crenshaw County,13906,13898,13857,13903,13920,13874,13898,13876,13913,-41,46,17,-46,24,-22,37
50,3,6,01,043,Alabama,Cullman County,80406,80410,80476,80457,80351,80731,81167,81858,82471,66,-19,-106,380,436,691,613
50,3,6,01,045,Alabama,Dale County,50251,50247,50360,50119,50296,49753,49389,49370,49226,113,-241,177,-543,-364,-19,-144
50,3,6,01,047,Alabama,Dallas County,43820,43820,43820,43207,42748,41950,41532,40893,40008,0,-613,-459,-798,-418,-639,-885
50,3,6,01,049,Alabama,DeKalb County,71109,71115,71143,71389,70961,70882,70947,70996,70900,28,246,-428,-79,65,49,-96
50,3,6,01,051,Alabama,Elmore County,79303,79296,79573,80030,80291,80661,80794,81238,81799,277,457,261,370,133,444,561
50,3,6,01,053,Alabama,Escambia County,38319,38319,38314,38227,38063,37877,37878,37827,37728,-5,-87,-164,-186,1,-51,-99
50,3,6,01,055,Alabama,Etowah County,104430,104427,104449,104236,104215,103790,103371,102873,102564,22,-213,-21,-425,-419,-498,-309
50,3,6,01,057,Alabama,Fayette County,17241,17241,17231,17063,16966,16858,16821,16723,16546,-10,-168,-97,-108,-37,-98,-177
50,3,6,01,059,Alabama,Franklin County,31704,31709,31734,31734,31652,31505,31540,31542,31628,25,0,-82,-147,35,2,86
50,3,6,01,061,Alabama,Geneva County,26790,26788,26796,26843,27012,26754,26688,26755,26614,8,47,169,-258,-66,67,-141
50,3,6,01,063,Alabama,Greene County,9045,9045,9001,8926,8837,8702,8525,8450,8422,-44,-75,-89,-135,-177,-75,-28
50,3,6,01,065,Alabama,Hale County,15760,15760,15740,15377,15393,15293,15081,15075,14952,-20,-363,16,-100,-212,-6,-123
50,3,6,01,067,Alabama,Henry County,17302,17300,17294,17405,17237,17188,17156,17191,17164,-6,111,-168,-49,-32,35,-27
50,3,6,01,069,Alabama,Houston County,101547,101555,101804,102480,103382,103614,104177,104225,104056,249,676,902,232,563,48,-169
